Subj_ID,Age_group,Condition_Freq,Condition_ISI,Trial_Global,Standard_Hz,Comparison_Hz,Delta_Hz,RT_ms,Accuracy,Reversal
4,O,500,1000,1,500,520,20,1553,1,0
4,O,500,1000,4,500,520,20,1263,1,0
4,O,500,1000,6,500,516,16,1308,1,0
4,O,500,1000,10,500,516,16,1747,1,0
4,O,500,1000,16,500,512,12,1225,1,0
4,O,500,1000,17,500,512,12,1246,1,0
4,O,500,1000,20,500,508,8,1454,1,0
4,O,500,1000,26,500,508,8,1446,1,0
4,O,500,1000,34,500,508,8,1616,1,0
4,O,500,1000,35,500,508,8,1285,1,1
4,O,500,1000,44,500,505,5,2268,1,0
4,O,500,1000,48,500,505,5,1622,1,1
4,O,500,1000,28,500,504,4,1345,1,0
4,O,500,1000,32,500,504,4,3056,0,1
4,O,500,1000,42,500,504,4,2298,0,1
4,O,500,100,3,500,520,20,1528,1,0
4,O,500,100,5,500,520,20,1562,1,0
4,O,500,100,7,500,516,16,1962,1,0
4,O,500,100,14,500,516,16,1476,1,0
4,O,500,100,15,500,512,12,1372,1,0
4,O,500,100,19,500,512,12,2176,1,0
4,O,500,100,24,500,512,12,1358,1,0
4,O,500,100,25,500,512,12,1687,1,1
4,O,500,100,38,500,509,9,1773,1,0
4,O,500,100,39,500,509,9,1295,1,1
4,O,500,100,22,500,508,8,2528,0,1
4,O,500,100,33,500,508,8,4411,1,0
4,O,500,100,37,500,508,8,2765,0,1
4,O,500,100,40,500,508,8,1134,1,0
4,O,500,100,41,500,508,8,1375,1,0
4,O,3000,1000,9,3000,3080,80,1329,1,0
4,O,3000,1000,12,3000,3080,80,1653,1,0
4,O,3000,1000,13,3000,3064,64,1309,1,0
4,O,3000,1000,18,3000,3064,64,1305,1,0
4,O,3000,1000,21,3000,3048,48,2045,1,0
4,O,3000,1000,23,3000,3048,48,1354,1,0
4,O,3000,1000,36,3000,3032,32,2920,1,0
4,O,3000,1000,43,3000,3032,32,1760,1,0
4,O,3000,1000,51,3000,3032,32,2816,1,0
4,O,3000,1000,52,3000,3032,32,1406,1,1
4,O,3000,1000,60,3000,3020,20,2881,0,0
4,O,3000,1000,45,3000,3016,16,3082,1,0
4,O,3000,1000,46,3000,3016,16,2094,0,1
4,O,3000,1000,55,3000,3016,16,1996,1,0
4,O,3000,1000,58,3000,3016,16,1860,0,1
4,O,3000,100,11,3000,3096,96,1451,1,0
4,O,3000,100,27,3000,3096,96,1328,1,1
4,O,3000,100,2,3000,3080,80,1722,1,0
4,O,3000,100,8,3000,3080,80,2136,0,0
4,O,3000,100,29,3000,3080,80,1294,1,0
4,O,3000,100,30,3000,3080,80,1547,1,0
4,O,3000,100,31,3000,3064,64,1122,1,0
4,O,3000,100,47,3000,3064,64,1378,1,0
4,O,3000,100,49,3000,3048,48,1692,1,0
4,O,3000,100,50,3000,3048,48,1725,1,0
4,O,3000,100,54,3000,3048,48,1469,1,0
4,O,3000,100,56,3000,3048,48,1594,1,1
4,O,3000,100,57,3000,3044,44,1702,1,0
4,O,3000,100,59,3000,3044,44,2757,1,0
4,O,3000,100,53,3000,3032,32,2604,0,1
