Subj_ID,Age_group,Condition_Freq,Condition_ISI,Trial_Global,Standard_Hz,Comparison_Hz,Delta_Hz,RT_ms,Accuracy,Reversal
9,O,500,1000,53,500,552,52,2747,0,0
9,O,500,1000,31,500,548,48,3196,1,0
9,O,500,1000,41,500,548,48,4411,0,0
9,O,500,1000,30,500,544,44,1792,0,0
9,O,500,1000,24,500,540,40,2037,1,0
9,O,500,1000,25,500,540,40,3513,0,0
9,O,500,1000,20,500,536,36,2223,0,0
9,O,500,1000,11,500,532,32,2091,1,0
9,O,500,1000,19,500,532,32,5021,0,0
9,O,500,1000,9,500,528,28,2697,0,0
9,O,500,1000,7,500,524,24,2063,0,0
9,O,500,1000,4,500,520,20,2404,0,0
9,O,500,100,15,500,536,36,2404,1,0
9,O,500,100,16,500,536,36,2250,1,1
9,O,500,100,26,500,536,36,3983,1,0
9,O,500,100,29,500,536,36,2390,1,1
9,O,500,100,50,500,536,36,1624,0,0
9,O,500,100,45,500,535,35,1896,1,0
9,O,500,100,47,500,535,35,2903,0,1
9,O,500,100,14,500,532,32,7008,0,0
9,O,500,100,17,500,532,32,2185,1,0
9,O,500,100,18,500,532,32,2294,0,1
9,O,500,100,13,500,528,28,3649,0,0
9,O,500,100,6,500,524,24,2848,0,0
9,O,500,100,1,500,520,20,3480,0,0
9,O,3000,1000,52,3000,3160,160,1807,1,0
9,O,3000,1000,43,3000,3156,156,2326,1,0
9,O,3000,1000,48,3000,3156,156,2262,0,0
9,O,3000,1000,42,3000,3152,152,2092,0,0
9,O,3000,1000,37,3000,3148,148,2442,0,0
9,O,3000,1000,28,3000,3144,144,1631,1,0
9,O,3000,1000,32,3000,3144,144,2562,1,1
9,O,3000,1000,36,3000,3144,144,3032,0,0
9,O,3000,1000,23,3000,3128,128,2956,0,0
9,O,3000,1000,34,3000,3128,128,2411,0,1
9,O,3000,1000,22,3000,3112,112,2314,0,0
9,O,3000,1000,5,3000,3096,96,8616,1,0
9,O,3000,1000,12,3000,3096,96,2072,0,0
9,O,3000,1000,3,3000,3080,80,2696,0,0
9,O,3000,100,21,3000,3128,128,2011,1,0
9,O,3000,100,27,3000,3128,128,1935,1,1
9,O,3000,100,10,3000,3112,112,3571,0,0
9,O,3000,100,33,3000,3112,112,4506,1,0
9,O,3000,100,35,3000,3112,112,3465,1,0
9,O,3000,100,8,3000,3096,96,5075,0,0
9,O,3000,100,38,3000,3096,96,2104,1,0
9,O,3000,100,39,3000,3096,96,1887,1,0
9,O,3000,100,44,3000,3096,96,2218,1,0
9,O,3000,100,46,3000,3096,96,1817,1,1
9,O,3000,100,49,3000,3092,92,1581,1,0
9,O,3000,100,51,3000,3092,92,2627,0,1
9,O,3000,100,2,3000,3080,80,3924,0,0
9,O,3000,100,40,3000,3080,80,2434,0,1
