Subj_ID,Age_group,Condition_Freq,Condition_ISI,Trial_Global,Standard_Hz,Comparison_Hz,Delta_Hz,RT_ms,Accuracy,Reversal
8,O,500,1000,40,500,528,28,1587,1,0
8,O,500,1000,41,500,528,28,1686,1,1
8,O,500,1000,48,500,525,25,1384,1,0
8,O,500,1000,52,500,525,25,1220,1,1
8,O,500,1000,25,500,524,24,1500,1,0
8,O,500,1000,39,500,524,24,1215,0,0
8,O,500,1000,42,500,524,24,1092,0,1
8,O,500,1000,53,500,524,24,1204,1,0
8,O,500,1000,4,500,520,20,2045,1,0
8,O,500,1000,14,500,520,20,1568,1,0
8,O,500,1000,20,500,520,20,1434,0,0
8,O,500,1000,16,500,516,16,1711,1,0
8,O,500,1000,17,500,516,16,1168,0,1
8,O,500,100,57,500,540,40,1231,0,0
8,O,500,100,56,500,539,39,1401,0,0
8,O,500,100,51,500,538,38,1710,0,0
8,O,500,100,43,500,537,37,1416,0,0
8,O,500,100,29,500,536,36,1252,1,0
8,O,500,100,33,500,536,36,1835,1,1
8,O,500,100,38,500,536,36,1532,0,0
8,O,500,100,27,500,532,32,1703,0,0
8,O,500,100,36,500,532,32,1507,0,1
8,O,500,100,15,500,528,28,1526,0,0
8,O,500,100,6,500,524,24,1706,1,0
8,O,500,100,9,500,524,24,2086,0,0
8,O,500,100,3,500,520,20,6971,1,0
8,O,500,100,5,500,520,20,2542,0,0
8,O,3000,1000,44,3000,3208,208,1114,1,0
8,O,3000,1000,45,3000,3208,208,2378,1,1
8,O,3000,1000,54,3000,3208,208,1534,1,0
8,O,3000,1000,55,3000,3208,208,1493,1,1
8,O,3000,1000,35,3000,3192,192,1553,0,0
8,O,3000,1000,49,3000,3192,192,1365,1,0
8,O,3000,1000,50,3000,3192,192,1775,0,1
8,O,3000,1000,34,3000,3176,176,1104,0,0
8,O,3000,1000,30,3000,3160,160,1254,1,0
8,O,3000,1000,32,3000,3160,160,1264,0,0
8,O,3000,1000,26,3000,3144,144,1665,0,0
8,O,3000,1000,23,3000,3128,128,1286,0,0
8,O,3000,1000,22,3000,3112,112,1127,0,0
8,O,3000,1000,19,3000,3096,96,1278,0,0
8,O,3000,1000,10,3000,3080,80,2294,0,0
8,O,3000,100,11,3000,3096,96,10872,1,0
8,O,3000,100,12,3000,3096,96,1566,1,1
8,O,3000,100,47,3000,3084,84,1503,1,0
8,O,3000,100,1,3000,3080,80,4424,1,0
8,O,3000,100,2,3000,3080,80,1916,1,0
8,O,3000,100,8,3000,3080,80,1362,0,0
8,O,3000,100,13,3000,3080,80,1325,1,0
8,O,3000,100,18,3000,3080,80,1312,1,0
8,O,3000,100,37,3000,3080,80,1473,1,0
8,O,3000,100,46,3000,3080,80,1564,0,0
8,O,3000,100,21,3000,3076,76,1375,1,0
8,O,3000,100,24,3000,3076,76,1292,1,0
8,O,3000,100,31,3000,3076,76,1415,0,0
8,O,3000,100,28,3000,3072,72,2202,0,1
8,O,3000,100,7,3000,3064,64,1508,0,1
