Subj_ID,Age_group,Condition_Freq,Condition_ISI,Trial_Global,Standard_Hz,Comparison_Hz,Delta_Hz,RT_ms,Accuracy,Reversal
13,O,500,1000,54,500,544,44,10592,0,0
13,O,500,1000,46,500,540,40,5289,0,0
13,O,500,1000,41,500,536,36,7426,1,0
13,O,500,1000,43,500,536,36,14223,0,0
13,O,500,1000,34,500,532,32,2679,1,0
13,O,500,1000,38,500,532,32,3550,0,0
13,O,500,1000,25,500,528,28,11301,1,0
13,O,500,1000,29,500,528,28,5423,0,0
13,O,500,1000,22,500,524,24,3147,1,0
13,O,500,1000,23,500,524,24,5761,0,0
13,O,500,1000,1,500,520,20,10054,1,0
13,O,500,1000,3,500,520,20,6705,1,0
13,O,500,1000,17,500,520,20,5048,0,0
13,O,500,1000,13,500,516,16,6288,1,0
13,O,500,1000,15,500,516,16,7540,0,1
13,O,500,100,8,500,520,20,2786,1,0
13,O,500,100,9,500,520,20,4221,1,0
13,O,500,100,11,500,516,16,7445,1,0
13,O,500,100,12,500,516,16,5481,1,0
13,O,500,100,20,500,516,16,4108,1,0
13,O,500,100,26,500,516,16,4001,1,1
13,O,500,100,55,500,514,14,7503,1,0
13,O,500,100,53,500,513,13,5382,0,0
13,O,500,100,14,500,512,12,6924,0,1
13,O,500,100,28,500,512,12,7788,1,0
13,O,500,100,33,500,512,12,2319,1,0
13,O,500,100,49,500,512,12,2875,1,0
13,O,500,100,50,500,512,12,7059,0,0
13,O,500,100,36,500,511,11,11777,1,0
13,O,500,100,37,500,511,11,14526,0,1
13,O,3000,1000,32,3000,3144,144,8502,1,0
13,O,3000,1000,40,3000,3144,144,2191,1,1
13,O,3000,1000,27,3000,3128,128,10027,1,0
13,O,3000,1000,31,3000,3128,128,7708,0,0
13,O,3000,1000,44,3000,3128,128,3502,1,0
13,O,3000,1000,47,3000,3128,128,7371,1,0
13,O,3000,1000,56,3000,3128,128,4735,1,0
13,O,3000,1000,58,3000,3128,128,4767,0,0
13,O,3000,1000,18,3000,3112,112,5381,1,0
13,O,3000,1000,24,3000,3112,112,3933,0,0
13,O,3000,1000,52,3000,3112,112,3940,0,1
13,O,3000,1000,7,3000,3096,96,5333,1,0
13,O,3000,1000,16,3000,3096,96,6950,0,0
13,O,3000,1000,5,3000,3080,80,5614,1,0
13,O,3000,1000,6,3000,3080,80,9367,0,0
13,O,3000,100,51,3000,3164,164,4096,1,0
13,O,3000,100,57,3000,3164,164,12680,1,1
13,O,3000,100,60,3000,3164,164,5717,1,0
13,O,3000,100,35,3000,3160,160,5965,1,0
13,O,3000,100,39,3000,3160,160,6596,1,1
13,O,3000,100,45,3000,3160,160,4808,1,0
13,O,3000,100,48,3000,3160,160,8777,0,0
13,O,3000,100,59,3000,3160,160,11857,0,1
13,O,3000,100,21,3000,3144,144,8514,1,0
13,O,3000,100,30,3000,3144,144,18567,0,0
13,O,3000,100,42,3000,3144,144,6743,0,1
13,O,3000,100,19,3000,3128,128,8792,0,0
13,O,3000,100,10,3000,3112,112,4696,0,0
13,O,3000,100,4,3000,3096,96,14577,0,0
13,O,3000,100,2,3000,3080,80,9740,0,0
