Subj_ID,Age_group,Condition_Freq,Condition_ISI,Trial_Global,Standard_Hz,Comparison_Hz,Delta_Hz,RT_ms,Accuracy,Reversal
7,O,500,1000,1,500,520,20,4212,1,0
7,O,500,1000,8,500,520,20,2016,1,0
7,O,500,1000,13,500,520,20,2002,1,0
7,O,500,1000,14,500,520,20,2165,1,1
7,O,500,1000,45,500,518,18,451,1,0
7,O,500,1000,49,500,518,18,1725,1,1
7,O,500,1000,36,500,517,17,1765,1,0
7,O,500,1000,41,500,517,17,2237,0,0
7,O,500,1000,55,500,517,17,1415,1,0
7,O,500,1000,56,500,517,17,1977,0,1
7,O,500,1000,11,500,516,16,1861,0,1
7,O,500,1000,27,500,516,16,1855,1,0
7,O,500,1000,29,500,516,16,1996,1,0
7,O,500,1000,32,500,516,16,1800,0,0
7,O,500,1000,31,500,515,15,2163,0,1
7,O,500,100,48,500,531,31,1476,1,0
7,O,500,100,50,500,531,31,1403,1,1
7,O,500,100,58,500,531,31,1143,1,0
7,O,500,100,46,500,530,30,1424,0,0
7,O,500,100,51,500,530,30,2255,0,1
7,O,500,100,43,500,529,29,1522,0,0
7,O,500,100,23,500,528,28,1385,1,0
7,O,500,100,25,500,528,28,1756,1,1
7,O,500,100,34,500,528,28,1401,1,0
7,O,500,100,38,500,528,28,1324,0,0
7,O,500,100,9,500,524,24,1645,1,0
7,O,500,100,21,500,524,24,1618,0,0
7,O,500,100,28,500,524,24,1773,1,0
7,O,500,100,33,500,524,24,1507,0,1
7,O,500,100,7,500,520,20,2044,0,0
7,O,3000,1000,16,3000,3112,112,2043,1,0
7,O,3000,1000,17,3000,3112,112,1712,1,1
7,O,3000,1000,24,3000,3112,112,1938,1,0
7,O,3000,1000,26,3000,3112,112,1758,1,1
7,O,3000,1000,39,3000,3112,112,1427,1,0
7,O,3000,1000,40,3000,3112,112,1566,1,1
7,O,3000,1000,35,3000,3108,108,1627,0,1
7,O,3000,1000,57,3000,3108,108,1174,1,0
7,O,3000,1000,59,3000,3108,108,1552,0,1
7,O,3000,1000,15,3000,3096,96,2310,0,0
7,O,3000,1000,19,3000,3096,96,1957,1,0
7,O,3000,1000,20,3000,3096,96,1798,0,1
7,O,3000,1000,5,3000,3080,80,6626,1,0
7,O,3000,1000,6,3000,3080,80,1885,0,0
7,O,3000,100,30,3000,3144,144,1813,1,0
7,O,3000,100,37,3000,3144,144,1376,1,1
7,O,3000,100,18,3000,3128,128,1842,1,0
7,O,3000,100,22,3000,3128,128,1626,0,0
7,O,3000,100,42,3000,3128,128,1304,1,0
7,O,3000,100,44,3000,3128,128,1883,1,0
7,O,3000,100,10,3000,3112,112,1627,1,0
7,O,3000,100,12,3000,3112,112,1337,0,0
7,O,3000,100,47,3000,3112,112,2181,1,0
7,O,3000,100,52,3000,3112,112,1350,1,0
7,O,3000,100,4,3000,3096,96,1897,0,0
7,O,3000,100,53,3000,3096,96,2236,1,0
7,O,3000,100,54,3000,3096,96,2519,1,0
7,O,3000,100,2,3000,3080,80,3269,1,0
7,O,3000,100,3,3000,3080,80,1811,0,0
