Subj_ID,Age_group,Condition_Freq,Condition_ISI,Trial_Global,Standard_Hz,Comparison_Hz,Delta_Hz,RT_ms,Accuracy,Reversal
6,O,500,1000,11,500,528,28,2946,1,0
6,O,500,1000,13,500,528,28,1812,1,1
6,O,500,1000,8,500,524,24,1831,0,0
6,O,500,1000,18,500,524,24,1912,1,0
6,O,500,1000,19,500,524,24,2176,1,0
6,O,500,1000,28,500,524,24,1876,1,0
6,O,500,1000,33,500,524,24,2085,1,1
6,O,500,1000,34,500,523,23,2358,1,0
6,O,500,1000,38,500,523,23,1826,1,0
6,O,500,1000,49,500,523,23,2065,1,0
6,O,500,1000,50,500,523,23,1183,1,1
6,O,500,1000,48,500,522,22,1671,0,1
6,O,500,1000,52,500,522,22,2749,0,1
6,O,500,1000,2,500,520,20,1765,0,0
6,O,500,1000,22,500,520,20,3030,0,1
6,O,500,100,37,500,539,39,2052,1,0
6,O,500,100,40,500,539,39,2181,1,1
6,O,500,100,30,500,538,38,2027,1,0
6,O,500,100,35,500,538,38,2927,0,0
6,O,500,100,41,500,538,38,2696,1,0
6,O,500,100,26,500,537,37,2680,0,0
6,O,500,100,21,500,536,36,3395,1,0
6,O,500,100,23,500,536,36,1875,1,1
6,O,500,100,25,500,536,36,1902,0,0
6,O,500,100,15,500,532,32,2506,0,0
6,O,500,100,24,500,532,32,1892,0,1
6,O,500,100,10,500,528,28,2833,0,0
6,O,500,100,9,500,524,24,1976,0,0
6,O,500,100,5,500,520,20,2908,1,0
6,O,500,100,6,500,520,20,1846,0,0
6,O,3000,1000,44,3000,3176,176,2911,1,0
6,O,3000,1000,45,3000,3176,176,2405,1,1
6,O,3000,1000,53,3000,3176,176,2090,1,0
6,O,3000,1000,56,3000,3176,176,1988,1,1
6,O,3000,1000,57,3000,3172,172,2336,1,0
6,O,3000,1000,58,3000,3172,172,2262,1,0
6,O,3000,1000,59,3000,3168,168,2085,1,0
6,O,3000,1000,29,3000,3160,160,1591,1,0
6,O,3000,1000,36,3000,3160,160,1633,0,0
6,O,3000,1000,46,3000,3160,160,2223,0,1
6,O,3000,1000,27,3000,3144,144,1761,0,0
6,O,3000,1000,12,3000,3128,128,1903,0,0
6,O,3000,1000,7,3000,3112,112,2197,0,0
6,O,3000,1000,3,3000,3096,96,1888,0,0
6,O,3000,1000,1,3000,3080,80,2006,0,0
6,O,3000,100,43,3000,3160,160,2385,1,0
6,O,3000,100,47,3000,3160,160,3061,1,1
6,O,3000,100,55,3000,3148,148,2130,1,0
6,O,3000,100,60,3000,3148,148,2153,0,0
6,O,3000,100,42,3000,3144,144,2526,0,0
6,O,3000,100,51,3000,3144,144,3756,1,0
6,O,3000,100,54,3000,3144,144,1695,0,1
6,O,3000,100,39,3000,3128,128,2006,0,0
6,O,3000,100,31,3000,3112,112,2458,1,0
6,O,3000,100,32,3000,3112,112,3308,0,0
6,O,3000,100,20,3000,3096,96,2598,0,0
6,O,3000,100,4,3000,3080,80,2691,1,0
6,O,3000,100,14,3000,3080,80,4442,1,0
6,O,3000,100,17,3000,3080,80,2356,0,0
6,O,3000,100,16,3000,3064,64,1737,0,1
