Subj_ID,Age_group,Condition_Freq,Condition_ISI,Trial_Global,Standard_Hz,Comparison_Hz,Delta_Hz,RT_ms,Accuracy,Reversal
5,O,500,1000,56,500,528,28,1725,1,0
5,O,500,1000,54,500,527,27,2145,0,0
5,O,500,1000,49,500,526,26,1659,1,0
5,O,500,1000,52,500,526,26,1784,0,0
5,O,500,1000,31,500,525,25,1932,1,0
5,O,500,1000,33,500,525,25,2083,1,1
5,O,500,1000,38,500,525,25,2214,0,0
5,O,500,1000,4,500,524,24,3907,1,0
5,O,500,1000,5,500,524,24,3241,1,1
5,O,500,1000,22,500,524,24,2430,1,0
5,O,500,1000,27,500,524,24,2422,0,0
5,O,500,1000,37,500,524,24,1474,0,1
5,O,500,1000,3,500,520,20,4072,0,0
5,O,500,1000,13,500,520,20,3105,1,0
5,O,500,1000,21,500,520,20,2812,0,1
5,O,500,100,51,500,530,30,1826,0,0
5,O,500,100,46,500,529,29,1915,0,0
5,O,500,100,44,500,528,28,1696,1,0
5,O,500,100,45,500,528,28,1466,0,0
5,O,500,100,43,500,527,27,3840,0,0
5,O,500,100,29,500,526,26,3431,0,0
5,O,500,100,25,500,525,25,2119,0,0
5,O,500,100,6,500,524,24,5162,1,0
5,O,500,100,7,500,524,24,3021,1,1
5,O,500,100,17,500,524,24,6072,1,0
5,O,500,100,24,500,524,24,3977,0,0
5,O,500,100,1,500,520,20,2767,1,0
5,O,500,100,2,500,520,20,1975,0,0
5,O,500,100,10,500,520,20,5694,1,0
5,O,500,100,12,500,520,20,5357,0,1
5,O,3000,1000,8,3000,3080,80,4085,1,0
5,O,3000,1000,9,3000,3080,80,1885,1,0
5,O,3000,1000,14,3000,3064,64,2657,1,0
5,O,3000,1000,18,3000,3064,64,4495,1,0
5,O,3000,1000,26,3000,3064,64,1994,1,0
5,O,3000,1000,28,3000,3064,64,1852,1,1
5,O,3000,1000,40,3000,3064,64,2177,1,0
5,O,3000,1000,41,3000,3064,64,1685,1,1
5,O,3000,1000,39,3000,3060,60,1476,0,0
5,O,3000,1000,42,3000,3060,60,3964,0,1
5,O,3000,1000,35,3000,3056,56,1297,0,0
5,O,3000,1000,32,3000,3052,52,2251,1,0
5,O,3000,1000,34,3000,3052,52,2432,0,0
5,O,3000,1000,20,3000,3048,48,2332,0,1
5,O,3000,1000,30,3000,3048,48,1791,0,1
5,O,3000,100,57,3000,3104,104,2263,1,0
5,O,3000,100,58,3000,3104,104,1948,1,1
5,O,3000,100,55,3000,3100,100,4405,0,0
5,O,3000,100,59,3000,3100,100,1422,0,1
5,O,3000,100,15,3000,3096,96,2388,1,0
5,O,3000,100,16,3000,3096,96,1865,1,1
5,O,3000,100,36,3000,3096,96,2525,1,0
5,O,3000,100,47,3000,3096,96,3112,1,1
5,O,3000,100,50,3000,3096,96,2162,1,0
5,O,3000,100,53,3000,3096,96,2152,0,0
5,O,3000,100,48,3000,3092,92,1722,0,1
5,O,3000,100,11,3000,3080,80,6415,0,0
5,O,3000,100,19,3000,3080,80,2901,1,0
5,O,3000,100,23,3000,3080,80,5324,0,1
