Subj_ID,Age_group,Condition_Freq,Condition_ISI,Trial_Global,Standard_Hz,Comparison_Hz,Delta_Hz,RT_ms,Accuracy,Reversal
11,O,500,1000,18,500,536,36,1884,1,0
11,O,500,1000,22,500,536,36,2638,1,1
11,O,500,1000,16,500,532,32,1717,0,0
11,O,500,1000,26,500,532,32,1684,0,1
11,O,500,1000,12,500,528,28,1823,1,0
11,O,500,1000,13,500,528,28,1825,0,0
11,O,500,1000,9,500,524,24,2358,0,0
11,O,500,1000,1,500,520,20,2656,0,0
11,O,500,100,7,500,524,24,2017,1,0
11,O,500,100,8,500,524,24,2072,1,1
11,O,500,100,4,500,520,20,5463,0,0
11,O,500,100,14,500,520,20,2083,1,0
11,O,500,100,20,500,520,20,1724,1,0
11,O,500,100,21,500,516,16,2044,1,0
11,O,500,100,23,500,516,16,2565,1,0
11,O,500,100,27,500,516,16,1932,1,0
11,O,500,100,33,500,516,16,2219,0,0
11,O,500,100,24,500,512,12,1988,0,1
11,O,3000,1000,34,3000,3224,224,1635,0,0
11,O,3000,1000,31,3000,3208,208,1801,0,0
11,O,3000,1000,30,3000,3192,192,2002,0,0
11,O,3000,1000,29,3000,3176,176,1885,0,0
11,O,3000,1000,19,3000,3160,160,1849,1,0
11,O,3000,1000,28,3000,3160,160,2051,0,0
11,O,3000,1000,15,3000,3144,144,2815,0,0
11,O,3000,1000,11,3000,3128,128,2233,0,0
11,O,3000,1000,10,3000,3112,112,1776,0,0
11,O,3000,1000,5,3000,3096,96,1896,0,0
11,O,3000,1000,2,3000,3080,80,2595,0,0
11,O,3000,100,17,3000,3096,96,2095,1,0
11,O,3000,100,25,3000,3096,96,1957,1,1
11,O,3000,100,3,3000,3080,80,3514,1,0
11,O,3000,100,6,3000,3080,80,3085,0,0
11,O,3000,100,32,3000,3080,80,2261,0,1
