Subj_ID,Age_group,Condition_Freq,Condition_ISI,Trial_Global,Standard_Hz,Comparison_Hz,Delta_Hz,RT_ms,Accuracy,Reversal
A002,Y,500,1000,8,500,520,20,932,1,0
A002,Y,500,1000,13,500,520,20,1015,1,0
A002,Y,500,1000,19,500,516,16,995,1,0
A002,Y,500,1000,25,500,516,16,846,1,0
A002,Y,500,1000,28,500,512,12,933,1,0
A002,Y,500,1000,42,500,512,12,867,1,0
A002,Y,500,1000,44,500,508,8,778,1,0
A002,Y,500,1000,47,500,508,8,748,1,0
A002,Y,500,1000,49,500,504,4,1213,1,0
A002,Y,500,1000,51,500,504,4,699,1,0
A002,Y,500,1000,52,500,501,1,1172,1,0
A002,Y,500,1000,53,500,501,1,1033,1,0
A002,Y,500,1000,55,500,501,1,1400,1,0
A002,Y,500,1000,56,500,501,1,1349,1,0
A002,Y,500,1000,57,500,501,1,1030,0,1
A002,Y,500,100,4,500,520,20,2165,1,0
A002,Y,500,100,14,500,520,20,995,1,0
A002,Y,500,100,30,500,516,16,1144,1,0
A002,Y,500,100,31,500,516,16,1145,1,0
A002,Y,500,100,33,500,512,12,1062,1,0
A002,Y,500,100,35,500,512,12,1008,1,0
A002,Y,500,100,40,500,508,8,1097,1,0
A002,Y,500,100,43,500,508,8,1566,1,0
A002,Y,500,100,59,500,505,5,904,1,0
A002,Y,500,100,60,500,505,5,1247,1,1
A002,Y,500,100,45,500,504,4,797,1,0
A002,Y,500,100,46,500,504,4,745,1,0
A002,Y,500,100,50,500,501,1,1012,1,0
A002,Y,500,100,54,500,501,1,1499,1,0
A002,Y,500,100,58,500,501,1,1044,0,1
A002,Y,3000,1000,1,3000,3080,80,2415,1,0
A002,Y,3000,1000,3,3000,3080,80,1062,1,0
A002,Y,3000,1000,5,3000,3064,64,1116,1,0
A002,Y,3000,1000,10,3000,3064,64,1232,1,0
A002,Y,3000,1000,12,3000,3048,48,977,1,0
A002,Y,3000,1000,15,3000,3048,48,1162,1,0
A002,Y,3000,1000,16,3000,3032,32,1078,1,0
A002,Y,3000,1000,17,3000,3032,32,1144,1,0
A002,Y,3000,1000,21,3000,3032,32,1466,1,0
A002,Y,3000,1000,22,3000,3032,32,962,1,1
A002,Y,3000,1000,20,3000,3016,16,2580,0,1
A002,Y,3000,1000,29,3000,3016,16,1596,1,0
A002,Y,3000,1000,32,3000,3016,16,978,1,0
A002,Y,3000,1000,36,3000,3012,12,1131,1,0
A002,Y,3000,1000,48,3000,3012,12,3728,1,0
A002,Y,3000,100,2,3000,3080,80,1265,1,0
A002,Y,3000,100,6,3000,3080,80,1265,1,0
A002,Y,3000,100,7,3000,3064,64,862,1,0
A002,Y,3000,100,9,3000,3064,64,903,1,0
A002,Y,3000,100,11,3000,3048,48,1016,1,0
A002,Y,3000,100,18,3000,3048,48,828,1,0
A002,Y,3000,100,23,3000,3032,32,912,1,0
A002,Y,3000,100,24,3000,3032,32,729,1,0
A002,Y,3000,100,27,3000,3032,32,932,1,0
A002,Y,3000,100,34,3000,3032,32,1411,1,1
A002,Y,3000,100,26,3000,3016,16,1111,0,1
A002,Y,3000,100,37,3000,3016,16,777,1,0
A002,Y,3000,100,38,3000,3016,16,928,1,0
A002,Y,3000,100,39,3000,3012,12,4245,1,0
A002,Y,3000,100,41,3000,3012,12,916,1,0
