Subj_ID,Age_group,Condition_Freq,Condition_ISI,Trial_Global,Standard_Hz,Comparison_Hz,Delta_Hz,RT_ms,Accuracy,Reversal
A011,Y,500,1000,27,500,524,24,1817,1,0
A011,Y,500,1000,32,500,524,24,1362,1,1
A011,Y,500,1000,51,500,523,23,1129,1,0
A011,Y,500,1000,57,500,523,23,1129,1,1
A011,Y,500,1000,47,500,522,22,1379,0,0
A011,Y,500,1000,41,500,521,21,1479,1,0
A011,Y,500,1000,45,500,521,21,1545,0,0
A011,Y,500,1000,1,500,520,20,2349,1,0
A011,Y,500,1000,8,500,520,20,2011,1,0
A011,Y,500,1000,24,500,520,20,1395,1,0
A011,Y,500,1000,26,500,520,20,1352,0,0
A011,Y,500,1000,35,500,520,20,1453,1,0
A011,Y,500,1000,36,500,520,20,1148,0,1
A011,Y,500,1000,18,500,516,16,1848,1,0
A011,Y,500,1000,22,500,516,16,1567,0,1
A011,Y,500,100,10,500,528,28,2940,1,0
A011,Y,500,100,11,500,528,28,2253,1,1
A011,Y,500,100,33,500,525,25,4814,1,0
A011,Y,500,100,34,500,525,25,2327,1,1
A011,Y,500,100,39,500,525,25,1045,1,0
A011,Y,500,100,49,500,525,25,16447,1,1
A011,Y,500,100,7,500,524,24,3366,0,0
A011,Y,500,100,13,500,524,24,1520,1,0
A011,Y,500,100,20,500,524,24,1530,1,0
A011,Y,500,100,28,500,524,24,1684,1,0
A011,Y,500,100,31,500,524,24,1298,0,0
A011,Y,500,100,37,500,524,24,1064,1,0
A011,Y,500,100,38,500,524,24,1216,0,1
A011,Y,500,100,4,500,520,20,3965,0,0
A011,Y,500,100,25,500,520,20,1157,0,1
A011,Y,3000,1000,14,3000,3144,144,1733,1,0
A011,Y,3000,1000,16,3000,3144,144,2278,1,1
A011,Y,3000,1000,6,3000,3128,128,2630,0,0
A011,Y,3000,1000,17,3000,3128,128,2297,1,0
A011,Y,3000,1000,40,3000,3128,128,1650,1,0
A011,Y,3000,1000,5,3000,3112,112,1613,0,0
A011,Y,3000,1000,42,3000,3112,112,2450,1,0
A011,Y,3000,1000,46,3000,3112,112,1128,1,0
A011,Y,3000,1000,3,3000,3096,96,1977,0,0
A011,Y,3000,1000,48,3000,3096,96,676,1,0
A011,Y,3000,1000,52,3000,3096,96,1128,1,0
A011,Y,3000,1000,54,3000,3096,96,1261,1,0
A011,Y,3000,1000,56,3000,3096,96,929,0,0
A011,Y,3000,1000,2,3000,3080,80,1960,0,0
A011,Y,3000,1000,53,3000,3080,80,1280,0,1
A011,Y,3000,100,43,3000,3192,192,980,1,0
A011,Y,3000,100,44,3000,3192,192,2798,1,1
A011,Y,3000,100,30,3000,3176,176,1167,0,0
A011,Y,3000,100,50,3000,3176,176,1164,1,0
A011,Y,3000,100,55,3000,3176,176,1210,1,0
A011,Y,3000,100,59,3000,3176,176,1250,1,0
A011,Y,3000,100,60,3000,3176,176,761,0,0
A011,Y,3000,100,29,3000,3160,160,1262,0,0
A011,Y,3000,100,58,3000,3160,160,1245,0,1
A011,Y,3000,100,23,3000,3144,144,1778,0,0
A011,Y,3000,100,21,3000,3128,128,1563,0,0
A011,Y,3000,100,15,3000,3112,112,1898,1,0
A011,Y,3000,100,19,3000,3112,112,1333,0,0
A011,Y,3000,100,12,3000,3096,96,1684,0,0
A011,Y,3000,100,9,3000,3080,80,2547,0,0
