Subj_ID,Age_group,Condition_Freq,Condition_ISI,Trial_Global,Standard_Hz,Comparison_Hz,Delta_Hz,RT_ms,Accuracy,Reversal
A007,Y,500,1000,57,500,540,40,638,1,0
A007,Y,500,1000,58,500,540,40,4381,1,1
A007,Y,500,1000,49,500,536,36,11631,1,0
A007,Y,500,1000,56,500,536,36,364,0,0
A007,Y,500,1000,59,500,536,36,904,1,0
A007,Y,500,1000,60,500,536,36,1863,1,0
A007,Y,500,1000,40,500,532,32,7463,1,0
A007,Y,500,1000,43,500,532,32,3112,0,0
A007,Y,500,1000,37,500,528,28,1098,0,0
A007,Y,500,1000,32,500,524,24,9732,0,0
A007,Y,500,1000,2,500,520,20,1913,1,0
A007,Y,500,1000,8,500,520,20,1045,1,0
A007,Y,500,1000,18,500,520,20,781,0,0
A007,Y,500,1000,14,500,516,16,845,1,0
A007,Y,500,1000,16,500,516,16,2581,0,1
A007,Y,500,100,55,500,530,30,1269,1,0
A007,Y,500,100,54,500,529,29,3602,0,0
A007,Y,500,100,52,500,528,28,6496,0,0
A007,Y,500,100,51,500,527,27,1871,0,0
A007,Y,500,100,50,500,526,26,22825,0,0
A007,Y,500,100,24,500,525,25,830,1,0
A007,Y,500,100,30,500,525,25,1348,1,1
A007,Y,500,100,38,500,525,25,1245,0,0
A007,Y,500,100,7,500,524,24,1694,1,0
A007,Y,500,100,10,500,524,24,1111,1,1
A007,Y,500,100,22,500,524,24,1065,0,0
A007,Y,500,100,36,500,524,24,2780,0,1
A007,Y,500,100,3,500,520,20,1227,0,0
A007,Y,500,100,20,500,520,20,930,1,0
A007,Y,500,100,21,500,520,20,896,0,1
A007,Y,3000,1000,27,3000,3112,112,13504,1,0
A007,Y,3000,1000,28,3000,3112,112,771,1,1
A007,Y,3000,1000,35,3000,3104,104,997,1,0
A007,Y,3000,1000,39,3000,3104,104,1413,1,1
A007,Y,3000,1000,34,3000,3100,100,1864,0,0
A007,Y,3000,1000,42,3000,3100,100,3047,1,0
A007,Y,3000,1000,25,3000,3096,96,1413,1,0
A007,Y,3000,1000,26,3000,3096,96,3162,0,0
A007,Y,3000,1000,31,3000,3096,96,1463,1,0
A007,Y,3000,1000,33,3000,3096,96,5680,0,1
A007,Y,3000,1000,1,3000,3080,80,3962,1,0
A007,Y,3000,1000,5,3000,3080,80,1235,1,0
A007,Y,3000,1000,17,3000,3080,80,880,0,0
A007,Y,3000,1000,11,3000,3064,64,912,1,0
A007,Y,3000,1000,12,3000,3064,64,1297,0,1
A007,Y,3000,100,13,3000,3112,112,1270,1,0
A007,Y,3000,100,15,3000,3112,112,945,1,1
A007,Y,3000,100,9,3000,3096,96,1160,0,0
A007,Y,3000,100,19,3000,3096,96,928,1,0
A007,Y,3000,100,23,3000,3096,96,795,1,0
A007,Y,3000,100,41,3000,3096,96,2482,1,0
A007,Y,3000,100,44,3000,3096,96,1147,1,1
A007,Y,3000,100,45,3000,3092,92,906,1,0
A007,Y,3000,100,46,3000,3092,92,961,1,0
A007,Y,3000,100,47,3000,3088,88,935,1,0
A007,Y,3000,100,48,3000,3088,88,5453,1,0
A007,Y,3000,100,53,3000,3084,84,1094,1,0
A007,Y,3000,100,4,3000,3080,80,1094,1,0
A007,Y,3000,100,6,3000,3080,80,1113,0,0
A007,Y,3000,100,29,3000,3080,80,894,0,1
