Subj_ID,Age_group,Condition_Freq,Condition_ISI,Trial_Global,Standard_Hz,Comparison_Hz,Delta_Hz,RT_ms,Accuracy,Reversal
A001,Y,500,1000,7,500,520,20,1365,1,0
A001,Y,500,1000,13,500,520,20,1174,1,0
A001,Y,500,1000,15,500,516,16,905,1,0
A001,Y,500,1000,18,500,516,16,1057,1,0
A001,Y,500,1000,20,500,516,16,1104,1,0
A001,Y,500,1000,24,500,516,16,1168,1,1
A001,Y,500,1000,19,500,512,12,4204,0,1
A001,Y,500,1000,25,500,512,12,949,1,0
A001,Y,500,1000,27,500,512,12,994,1,0
A001,Y,500,1000,28,500,511,11,835,1,0
A001,Y,500,1000,30,500,511,11,802,1,0
A001,Y,500,1000,33,500,510,10,2789,1,0
A001,Y,500,1000,38,500,510,10,957,1,0
A001,Y,500,1000,41,500,509,9,1349,1,0
A001,Y,500,1000,43,500,509,9,930,0,1
A001,Y,500,100,2,500,520,20,1915,1,0
A001,Y,500,100,5,500,520,20,2626,1,0
A001,Y,500,100,21,500,520,20,1014,1,0
A001,Y,500,100,26,500,520,20,888,1,1
A001,Y,500,100,9,500,516,16,1982,1,0
A001,Y,500,100,12,500,516,16,1601,0,1
A001,Y,500,100,32,500,516,16,899,1,0
A001,Y,500,100,35,500,516,16,3123,1,0
A001,Y,500,100,36,500,515,15,890,1,0
A001,Y,500,100,39,500,515,15,1507,1,0
A001,Y,500,100,44,500,514,14,1751,1,0
A001,Y,500,100,45,500,514,14,757,1,0
A001,Y,500,100,47,500,513,13,1329,1,0
A001,Y,500,100,48,500,513,13,851,1,0
A001,Y,500,100,49,500,512,12,778,0,1
A001,Y,3000,1000,4,3000,3080,80,1513,1,0
A001,Y,3000,1000,6,3000,3080,80,1400,1,0
A001,Y,3000,1000,8,3000,3064,64,1765,1,0
A001,Y,3000,1000,10,3000,3064,64,1314,1,0
A001,Y,3000,1000,16,3000,3048,48,1400,1,0
A001,Y,3000,1000,17,3000,3048,48,1286,1,0
A001,Y,3000,1000,23,3000,3048,48,1381,1,0
A001,Y,3000,1000,29,3000,3048,48,769,1,1
A001,Y,3000,1000,22,3000,3032,32,1050,0,1
A001,Y,3000,1000,31,3000,3032,32,3695,1,0
A001,Y,3000,1000,37,3000,3032,32,1129,1,0
A001,Y,3000,1000,40,3000,3028,28,2442,1,0
A001,Y,3000,1000,42,3000,3028,28,1992,1,0
A001,Y,3000,1000,51,3000,3024,24,1866,1,0
A001,Y,3000,1000,52,3000,3024,24,1960,1,0
A001,Y,3000,100,1,3000,3080,80,1713,1,0
A001,Y,3000,100,3,3000,3080,80,1335,1,0
A001,Y,3000,100,34,3000,3080,80,1317,1,0
A001,Y,3000,100,46,3000,3080,80,867,1,1
A001,Y,3000,100,11,3000,3064,64,922,1,0
A001,Y,3000,100,14,3000,3064,64,1011,0,1
A001,Y,3000,100,50,3000,3064,64,2523,1,0
A001,Y,3000,100,53,3000,3064,64,2827,1,0
A001,Y,3000,100,54,3000,3060,60,1020,1,0
A001,Y,3000,100,55,3000,3060,60,843,1,0
A001,Y,3000,100,56,3000,3056,56,547,1,0
A001,Y,3000,100,57,3000,3056,56,1426,1,0
A001,Y,3000,100,58,3000,3052,52,598,1,0
A001,Y,3000,100,59,3000,3052,52,566,1,0
A001,Y,3000,100,60,3000,3048,48,446,1,0
