Subj_ID,Age_group,Condition_Freq,Condition_ISI,Trial_Global,Standard_Hz,Comparison_Hz,Delta_Hz,RT_ms,Accuracy,Reversal
A006,Y,500,1000,23,500,525,25,3852,1,0
A006,Y,500,1000,26,500,525,25,1882,1,1
A006,Y,500,1000,47,500,525,25,2351,0,0
A006,Y,500,1000,9,500,524,24,3081,1,0
A006,Y,500,1000,10,500,524,24,3481,1,1
A006,Y,500,1000,20,500,524,24,3184,1,0
A006,Y,500,1000,21,500,524,24,3132,0,0
A006,Y,500,1000,32,500,524,24,2628,1,0
A006,Y,500,1000,33,500,524,24,3068,1,0
A006,Y,500,1000,42,500,524,24,7443,0,0
A006,Y,500,1000,38,500,523,23,3370,1,0
A006,Y,500,1000,40,500,523,23,1915,0,1
A006,Y,500,1000,5,500,520,20,7526,0,0
A006,Y,500,1000,13,500,520,20,4184,1,0
A006,Y,500,1000,19,500,520,20,1817,0,1
A006,Y,500,100,55,500,529,29,2984,1,0
A006,Y,500,100,7,500,528,28,1597,1,0
A006,Y,500,100,14,500,528,28,3251,1,1
A006,Y,500,100,53,500,528,28,2601,0,0
A006,Y,500,100,50,500,527,27,5361,0,0
A006,Y,500,100,46,500,526,26,2099,0,0
A006,Y,500,100,45,500,525,25,8681,0,0
A006,Y,500,100,6,500,524,24,3428,0,0
A006,Y,500,100,22,500,524,24,2595,1,0
A006,Y,500,100,25,500,524,24,12195,1,0
A006,Y,500,100,35,500,524,24,3702,1,0
A006,Y,500,100,39,500,524,24,5034,0,0
A006,Y,500,100,2,500,520,20,3214,0,0
A006,Y,500,100,28,500,520,20,2120,1,0
A006,Y,500,100,31,500,520,20,3048,0,1
A006,Y,3000,1000,3,3000,3080,80,2980,1,0
A006,Y,3000,1000,8,3000,3080,80,1615,1,0
A006,Y,3000,1000,15,3000,3064,64,2016,1,0
A006,Y,3000,1000,24,3000,3064,64,1498,1,0
A006,Y,3000,1000,30,3000,3048,48,2984,1,0
A006,Y,3000,1000,34,3000,3048,48,1354,1,0
A006,Y,3000,1000,52,3000,3048,48,1370,1,0
A006,Y,3000,1000,57,3000,3048,48,1698,1,1
A006,Y,3000,1000,36,3000,3032,32,2598,1,0
A006,Y,3000,1000,37,3000,3032,32,1785,1,0
A006,Y,3000,1000,49,3000,3032,32,1498,0,0
A006,Y,3000,1000,58,3000,3032,32,2271,1,0
A006,Y,3000,1000,59,3000,3032,32,2433,1,0
A006,Y,3000,1000,44,3000,3016,16,1435,1,0
A006,Y,3000,1000,48,3000,3016,16,1385,0,1
A006,Y,3000,100,4,3000,3096,96,2432,1,0
A006,Y,3000,100,11,3000,3096,96,2530,1,1
A006,Y,3000,100,1,3000,3080,80,20503,0,0
A006,Y,3000,100,12,3000,3080,80,5028,1,0
A006,Y,3000,100,16,3000,3080,80,2403,1,0
A006,Y,3000,100,43,3000,3068,68,9630,1,0
A006,Y,3000,100,51,3000,3068,68,4749,1,1
A006,Y,3000,100,56,3000,3068,68,1968,1,0
A006,Y,3000,100,60,3000,3068,68,2068,1,1
A006,Y,3000,100,17,3000,3064,64,2451,1,0
A006,Y,3000,100,18,3000,3064,64,1836,1,0
A006,Y,3000,100,29,3000,3064,64,3736,1,0
A006,Y,3000,100,41,3000,3064,64,2682,0,0
A006,Y,3000,100,54,3000,3064,64,3550,0,1
A006,Y,3000,100,27,3000,3048,48,3753,0,1
