Subj_ID,Age_group,Condition_Freq,Condition_ISI,Trial_Global,Standard_Hz,Comparison_Hz,Delta_Hz,RT_ms,Accuracy,Reversal
A004,Y,500,1000,22,500,528,28,8695,1,0
A004,Y,500,1000,31,500,528,28,2867,1,1
A004,Y,500,1000,21,500,524,24,4483,0,0
A004,Y,500,1000,33,500,524,24,1955,1,0
A004,Y,500,1000,35,500,524,24,2227,1,0
A004,Y,500,1000,39,500,524,24,3498,1,0
A004,Y,500,1000,41,500,524,24,2014,1,1
A004,Y,500,1000,36,500,523,23,1223,0,1
A004,Y,500,1000,51,500,523,23,1596,1,0
A004,Y,500,1000,54,500,523,23,3564,1,0
A004,Y,500,1000,2,500,520,20,8545,1,0
A004,Y,500,1000,6,500,520,20,3931,1,0
A004,Y,500,1000,9,500,520,20,8042,1,0
A004,Y,500,1000,15,500,520,20,4150,0,0
A004,Y,500,1000,7,500,516,16,2297,0,1
A004,Y,500,100,4,500,524,24,2130,1,0
A004,Y,500,100,10,500,524,24,4746,1,1
A004,Y,500,100,3,500,520,20,3815,0,0
A004,Y,500,100,12,500,520,20,3515,1,0
A004,Y,500,100,16,500,520,20,6148,1,0
A004,Y,500,100,23,500,520,20,2916,1,0
A004,Y,500,100,27,500,520,20,5895,1,1
A004,Y,500,100,45,500,520,20,2814,1,0
A004,Y,500,100,50,500,520,20,13115,1,1
A004,Y,500,100,28,500,519,19,5783,1,0
A004,Y,500,100,30,500,519,19,2865,1,0
A004,Y,500,100,40,500,519,19,3450,0,0
A004,Y,500,100,37,500,518,18,3648,0,1
A004,Y,500,100,17,500,516,16,2195,1,0
A004,Y,500,100,19,500,516,16,3597,0,1
A004,Y,3000,1000,5,3000,3080,80,3195,1,0
A004,Y,3000,1000,8,3000,3080,80,7713,1,0
A004,Y,3000,1000,11,3000,3064,64,3862,1,0
A004,Y,3000,1000,25,3000,3064,64,3049,1,0
A004,Y,3000,1000,42,3000,3064,64,2991,1,0
A004,Y,3000,1000,43,3000,3064,64,3078,1,1
A004,Y,3000,1000,60,3000,3056,56,1698,1,0
A004,Y,3000,1000,55,3000,3052,52,1664,1,0
A004,Y,3000,1000,56,3000,3052,52,2245,1,1
A004,Y,3000,1000,59,3000,3052,52,1229,0,0
A004,Y,3000,1000,29,3000,3048,48,4033,1,0
A004,Y,3000,1000,32,3000,3048,48,4714,0,1
A004,Y,3000,1000,49,3000,3048,48,1648,0,1
A004,Y,3000,1000,57,3000,3048,48,1681,1,0
A004,Y,3000,1000,58,3000,3048,48,3445,0,1
A004,Y,3000,100,1,3000,3080,80,9163,1,0
A004,Y,3000,100,13,3000,3080,80,2445,1,0
A004,Y,3000,100,14,3000,3064,64,2098,1,0
A004,Y,3000,100,18,3000,3064,64,7112,1,0
A004,Y,3000,100,20,3000,3048,48,3249,1,0
A004,Y,3000,100,24,3000,3048,48,7315,1,0
A004,Y,3000,100,26,3000,3032,32,9316,1,0
A004,Y,3000,100,34,3000,3032,32,4027,1,0
A004,Y,3000,100,46,3000,3032,32,2579,1,0
A004,Y,3000,100,47,3000,3032,32,1578,1,1
A004,Y,3000,100,52,3000,3020,20,1833,1,0
A004,Y,3000,100,53,3000,3020,20,1694,1,1
A004,Y,3000,100,38,3000,3016,16,2449,1,0
A004,Y,3000,100,44,3000,3016,16,6061,0,1
A004,Y,3000,100,48,3000,3016,16,2847,0,1
