Subj_ID,Age_group,Condition_Freq,Condition_ISI,Trial_Global,Standard_Hz,Comparison_Hz,Delta_Hz,RT_ms,Accuracy,Reversal
A008,Y,500,1000,27,500,532,32,1547,1,0
A008,Y,500,1000,28,500,532,32,1480,1,1
A008,Y,500,1000,17,500,528,28,2332,1,0
A008,Y,500,1000,19,500,528,28,3216,0,0
A008,Y,500,1000,31,500,528,28,1617,1,0
A008,Y,500,1000,34,500,528,28,3250,1,0
A008,Y,500,1000,50,500,525,25,2495,1,0
A008,Y,500,1000,12,500,524,24,1510,1,0
A008,Y,500,1000,14,500,524,24,1473,0,0
A008,Y,500,1000,38,500,524,24,2150,1,0
A008,Y,500,1000,40,500,524,24,2180,1,0
A008,Y,500,1000,49,500,524,24,2997,0,0
A008,Y,500,1000,11,500,520,20,5665,0,0
A008,Y,500,1000,42,500,520,20,8310,1,0
A008,Y,500,1000,46,500,520,20,3811,0,1
A008,Y,500,100,23,500,524,24,5182,1,0
A008,Y,500,100,24,500,524,24,5554,1,1
A008,Y,500,100,1,500,520,20,5898,1,0
A008,Y,500,100,9,500,520,20,5605,0,0
A008,Y,500,100,25,500,520,20,1930,1,0
A008,Y,500,100,32,500,520,20,3933,1,0
A008,Y,500,100,60,500,518,18,1728,0,0
A008,Y,500,100,52,500,517,17,2131,1,0
A008,Y,500,100,53,500,517,17,3113,0,0
A008,Y,500,100,39,500,516,16,2544,1,0
A008,Y,500,100,41,500,516,16,6548,1,0
A008,Y,500,100,47,500,516,16,6480,1,0
A008,Y,500,100,51,500,516,16,4514,0,0
A008,Y,500,100,43,500,512,12,3399,1,0
A008,Y,500,100,44,500,512,12,12742,0,1
A008,Y,3000,1000,16,3000,3112,112,1506,1,0
A008,Y,3000,1000,18,3000,3112,112,2097,1,1
A008,Y,3000,1000,13,3000,3096,96,1484,1,0
A008,Y,3000,1000,15,3000,3096,96,1317,0,0
A008,Y,3000,1000,20,3000,3096,96,1464,1,0
A008,Y,3000,1000,21,3000,3096,96,3244,1,0
A008,Y,3000,1000,30,3000,3096,96,2215,1,0
A008,Y,3000,1000,36,3000,3096,96,1486,1,1
A008,Y,3000,1000,26,3000,3092,92,2067,0,1
A008,Y,3000,1000,37,3000,3092,92,1571,0,1
A008,Y,3000,1000,2,3000,3080,80,4280,1,0
A008,Y,3000,1000,3,3000,3080,80,1566,1,0
A008,Y,3000,1000,5,3000,3080,80,4598,1,0
A008,Y,3000,1000,10,3000,3080,80,1746,0,0
A008,Y,3000,1000,4,3000,3064,64,5434,0,1
A008,Y,3000,100,56,3000,3084,84,3594,1,0
A008,Y,3000,100,57,3000,3084,84,8488,1,1
A008,Y,3000,100,6,3000,3080,80,4197,1,0
A008,Y,3000,100,7,3000,3080,80,6578,1,0
A008,Y,3000,100,22,3000,3080,80,2397,1,0
A008,Y,3000,100,29,3000,3080,80,2147,1,1
A008,Y,3000,100,55,3000,3080,80,4001,0,0
A008,Y,3000,100,58,3000,3080,80,1680,1,0
A008,Y,3000,100,59,3000,3080,80,2547,0,1
A008,Y,3000,100,54,3000,3076,76,7230,0,0
A008,Y,3000,100,48,3000,3072,72,3244,0,0
A008,Y,3000,100,35,3000,3068,68,10748,1,0
A008,Y,3000,100,45,3000,3068,68,1628,0,0
A008,Y,3000,100,8,3000,3064,64,3682,0,1
A008,Y,3000,100,33,3000,3064,64,3796,0,1
